TGL_TRANSAKSI,NAMA_BARANG,JUMLAH_STOK
2023-05-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-31,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-06-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-06-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-06-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-06-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-06-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-06-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-06-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-06-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-07-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-07-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-07-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-07-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-07-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-07-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-07-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-07-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-07-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-07-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-07-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-07-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-07-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-07-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-07-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-07-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-07-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-07-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-07-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-07-31,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-08-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-08-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-08-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,10
2023-08-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-08-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-08-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-08-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-08-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-08-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-08-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-08-31,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-09-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-09-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-09-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,7
2023-09-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-09-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-09-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-09-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-09-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-09-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-09-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-09-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-09-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-09-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-09-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-09-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-09-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-09-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-09-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-09-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-09-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-09-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-10-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-10-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,7
2023-10-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-10-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-10-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-10-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-10-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-10-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-10-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-10-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-10-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-10-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-10-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-10-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-10-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-10-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-10-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-10-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-10-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-10-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-10-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-10-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-10-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-10-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-10-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-10-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-10-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-10-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-10-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-10-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-10-31,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-11-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-11-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-11-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-11-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-11-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-11-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-11-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-11-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,7
2023-11-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-11-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-11-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-11-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-11-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-11-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-11-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-11-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-11-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-11-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-11-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-11-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-12-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-12-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-12-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-12-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-12-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-12-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-12-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-12-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-12-31,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
